name,rating,genre,country,budget,gross
Pulp Fiction,R,Crime,United States,8000000,213928762
Forrest Gump,PG-13,Drama,United States,55000000,678226133
True Lies,R,Action,United States,115000000,378882411
The Lion King,G,Animation,United States,45000000,1083720877
The Mask,PG-13,Action,United States,23000000,351583407
Speed,R,Action,United States,30000000,350448145
Stargate,PG-13,Action,United States,55000000,196567262
The Little Rascals,PG,Comedy,United States,23000000,67308282
Dumb and Dumber,PG-13,Comedy,United States,17000000,247275374
Legends of the Fall,R,Drama,United States,30000000,160638883
Natural Born Killers,R,Action,United States,34000000,50283563
The Crow,R,Action,United States,23000000,50693129
Interview with the Vampire: the Vampire Chronicles,R,Drama,United States,60000000,223664608
Four Weddings and a Funeral,R,Comedy,United Kingdom,4400000,245700832
The Flintstones,PG,Comedy,United States,46000000,341631208
Ace Ventura: Pet Detective,PG-13,Comedy,United States,15000000,107217396
Little Women,PG,Drama,United States,18000000,50083616
Clear and Present Danger,PG-13,Action,United States,62000000,215887717
Heavenly Creatures,R,Biography,New Zealand,5000000,3049135
Clerks,R,Comedy,United States,27000,3151130
Maverick,PG,Action,United States,75000000,183031272
Wyatt Earp,PG-13,Adventure,United States,63000000,25052000
The Last Seduction,R,Crime,United Kingdom,2500000,5842603
Ed Wood,R,Biography,United States,18000000,5887457
Disclosure,R,Drama,United States,55000000,214015089
Angels in the Outfield,PG,Comedy,United States,24000000,50236831
In the Mouth of Madness,R,Drama,United States,8000000,8924549
Richie Rich,PG,Comedy,United States,40000000,38087756
Beverly Hills Cop III,R,Action,United States,50000000,119208989
Reality Bites,PG-13,Comedy,United States,11500000,33351557
Naked Gun 33 1/3: the Final Insult,PG-13,Comedy,United States,30000000,51132598
Junior,PG-13,Comedy,United States,60000000,108431355
New Nightmare,R,Fantasy,United States,8000000,19721741
Baby's Day Out,PG,Adventure,United States,48000000,16827402
The River Wild,PG-13,Adventure,United States,45000000,94216343
The Next Karate Kid,PG,Action,United States,12000000,15876353
Blown Away,R,Action,United States,28000000,30156002
Color of Night,R,Mystery,United States,40000000,19726050
North,PG,Adventure,United States,40000000,7182747
Muriel's Wedding,R,Comedy,Australia,9000000,15482277
The Client,PG-13,Crime,United States,45000000,117615211
It Could Happen to You,PG,Comedy,United States,20000000,37939757
Wolf,R,Drama,United States,70000000,131002597
Mary Shelley's Frankenstein,R,Drama,United States,45000000,112006296
Exit to Eden,R,Comedy,United States,25000000,6841570
The Jungle Book,PG,Adventure,United States,27000000,43229904
The Hudsucker Proxy,PG,Comedy,United Kingdom,40000000,2816518
Timecop,R,Action,United States,27000000,101646581
The Santa Clause,PG,Comedy,United States,22000000,190539357
The Specialist,R,Action,United States,45000000,170362582
Shallow Grave,R,Crime,United Kingdom,2500000,2079569
Serial Mom,R,Comedy,United States,13000000,7820688
Bad Girls,R,Action,United States,25000000,15240435
The Shadow,PG-13,Action,United States,25000000,48063435
Blue Sky,PG-13,Drama,United States,16000000,3359465
Quiz Show,PG-13,Biography,United States,31000000,24822619
Surviving the Game,R,Action,United States,7400000,7727256
Nell,PG-13,Drama,United States,24500000,106683817
Major League II,PG,Comedy,United States,25000000,30626182
Thumbelina,G,Animation,Ireland,28000000,11373501
Death and the Maiden,R,Drama,United Kingdom,12000000,3103716
The Postman,PG,Biography,Italy,3000000,21898920
8 Seconds,PG-13,Biography,United States,7000000,19623396
The Madness of King George,PG-13,Biography,United Kingdom,65897768,15238689
Nobody's Fool,R,Comedy,United States,20000000,39491975
The Secret of Roan Inish,PG,Drama,United States,3000000,6159269
Above the Rim,R,Crime,United States,3500000,16192320
Police Academy: Mission to Moscow,PG,Comedy,United States,6200000,126247
Ready to Wear,R,Comedy,United States,18000000,11300653
Bullets Over Broadway,R,Comedy,United States,20000000,13383747
Crooklyn,PG-13,Comedy,United States,14000000,13642861
Spanking the Monkey,Unrated,Comedy,United States,200000,1359736
Intersection,R,Drama,United States,45000000,21355893
The Swan Princess,G,Animation,United States,45000000,9771658
Renaissance Man,PG-13,Comedy,United States,40000000,24332324
No Escape,R,Action,United States,20000000,15339030
The Road to Wellville,R,Comedy,United States,25000000,6562513
Guarding Tess,PG-13,Comedy,United States,20000000,27058304
Drop Zone,R,Action,United States,45000000,28735315
City Slickers II: the Legend of Curly's Gold,PG-13,Comedy,United States,40000000,43622150
The Ref,R,Comedy,United States,11000000,11439193
I.Q.,PG,Comedy,United States,25000000,26381221
The Favor,R,Comedy,United States,13000000,3134381
The Paper,R,Comedy,United States,6000000,48424341
Terminal Velocity,PG-13,Action,United States,50000000,16487349
Little Odessa,R,Crime,United States,2300000,1095885
Fresh,R,Crime,United States,3500000,8094616
Leprechaun 2,R,Comedy,United States,2000000,2260622
Love Affair,PG-13,Comedy,United States,60000000,18272894
Mixed Nuts,PG-13,Comedy,United States,15000000,6821850
Silent Fall,R,Drama,United States,30000000,3180674
The Air Up There,PG,Comedy,United States,17080000,21011318
A Low Down Dirty Shame,R,Action,United States,10000000,29392418
Swimming with Sharks,R,Comedy,United States,700000,382928
I Love Trouble,PG,Action,United States,45000000,30806194
Blankman,PG-13,Action,United States,30000000,7941977
Mrs. Parker and the Vicious Circle,R,Biography,United States,7000000,2144667
Barcelona,PG-13,Comedy,United States,3200000,7266973
There Goes My Baby,R,Comedy,United States,10500000,123509
Radioland Murders,PG,Comedy,United States,15000000,1316865
Being Human,PG-13,Comedy,United Kingdom,40000000,1519366
Jimmy Hollywood,R,Crime,United States,30000000,3783003
My Summer Story,PG,Comedy,United States,15000000,70936
Getting Even with Dad,PG,Comedy,United States,30000000,18869594
Rapa Nui,R,Action,United States,20000000,305070
Heat,R,Crime,United States,60000000,187436818
Clueless,PG-13,Comedy,United States,12000000,56631572
Se7en,R,Crime,United States,33000000,327333559
Braveheart,R,Biography,United States,72000000,213216216
Apollo 13,PG,Adventure,United States,52000000,355237933
The Usual Suspects,R,Crime,United States,6000000,23341568
Jumanji,PG,Adventure,United States,65000000,262821940
Casino,R,Crime,United States,52000000,116112375
Congo,PG-13,Action,United States,50000000,152022101
Batman Forever,PG-13,Action,United States,100000000,336567158
Kids,NC-17,Drama,United States,1500000,7412216
Toy Story,G,Animation,United States,30000000,394436586
Desperado,R,Action,United States,7000000,25405445
Die Hard with a Vengeance,R,Action,United States,90000000,366101666
Mortal Kombat,PG-13,Action,United States,18000000,122195920
Mallrats,R,Comedy,United States,8000000,2122561
12 Monkeys,R,Mystery,United States,29000001,168839459
Leaving Las Vegas,R,Drama,United States,3600000,32029928
Showgirls,NC-17,Drama,France,45000000,20358624
Before Sunrise,R,Drama,United States,2500000,5987386
Friday,R,Comedy,United States,3500000,28215918
Sense and Sensibility,PG,Drama,United States,16000000,134582776
Waterworld,PG-13,Action,United States,175000000,264218220
The Basketball Diaries,R,Biography,United States,2000000,2402438
Bad Boys,R,Action,United States,19000000,141407024
Billy Madison,PG-13,Comedy,United States,10000000,26488734
Mighty Morphin Power Rangers: The Movie,PG,Action,United States,20000000,66433194
GoldenEye,PG-13,Action,United Kingdom,60000000,352194034
Species,R,Action,United States,35000000,113374103
Outbreak,R,Action,United States,50000000,189859560
Four Rooms,R,Comedy,United States,4000000,4257354
The Quick and the Dead,R,Action,United States,32000000,18636537
Hackers,PG-13,Comedy,United States,20000000,7563728
Casper,PG,Comedy,United States,50000000,287928194
Tank Girl,R,Action,United States,25000000,4064495
A Goofy Movie,G,Animation,United States,18000000,35348597
Crimson Tide,R,Action,United States,53000000,157387195
To Die For,R,Comedy,United States,20000000,21284514
Sabrina,PG,Comedy,Germany,58000000,53672080
While You Were Sleeping,PG,Comedy,United States,17000000,182057016
Get Shorty,R,Comedy,United States,30250000,115101622
Babe,G,Comedy,Australia,30000000,254134910
Dead Man Walking,R,Crime,United Kingdom,11000000,39363635
The Brady Bunch Movie,PG-13,Comedy,United States,12000000,46576136
The Bridges of Madison County,PG-13,Drama,United States,24000000,182016617
Strange Days,R,Action,United States,42000000,7959291
Cutthroat Island,PG-13,Action,France,98000000,10017322
Judge Dredd,R,Action,United States,90000000,113493481
Copycat,R,Drama,United States,20000000,32051917
Powder,PG-13,Drama,United States,9500000,30862156
A Little Princess,G,Drama,United States,17000000,10015449
The American President,PG-13,Comedy,United States,62000000,107879496
Under Siege 2: Dark Territory,R,Action,United States,60000000,104324083
Mr. Holland's Opus,PG,Drama,United States,23000000,106269971
Dead Man,R,Adventure,United States,9000000,1037847
Ace Ventura: When Nature Calls,PG-13,Adventure,United States,30000000,212385533
First Knight,PG-13,Action,United States,55000000,127600435
Jade,R,Crime,United States,50000000,9851610
Virtuosity,R,Action,United States,30000000,24047675
Father of the Bride Part II,PG,Comedy,United States,30000000,76594107
Assassins,R,Action,France,50000000,30303072
Rob Roy,R,Adventure,United Kingdom,28000000,31596911
Dead Presidents,R,Action,United States,10000000,24147179
Waiting to Exhale,R,Comedy,United States,16000000,81452156
Welcome to the Dollhouse,R,Comedy,United States,800000,4569019
The Indian in the Cupboard,PG,Drama,United States,45000000,35656131
Rumble in the Bronx,R,Action,Hong Kong,7500000,32392047
Devil in a Blue Dress,R,Crime,United States,27000000,16140822
How to Make an American Quilt,PG-13,Comedy,United States,10000000,41200020
Tales from the Crypt: Demon Knight,R,Action,United States,13000000,21089146
The Net,PG-13,Action,United States,22000000,110627965
Dracula: Dead and Loving It,PG-13,Comedy,France,30000000,10772144
Village of the Damned,R,Horror,United States,22000000,9418365
Wild Bill,R,Action,United States,30000000,2193982
Grumpier Old Men,PG-13,Comedy,United States,25000000,71518503
Boys on the Side,R,Comedy,United States,21000000,23440188
Tales from the Hood,R,Crime,United States,6000000,11837928
Money Train,R,Action,United States,68000000,35431113
Candyman: Farewell to the Flesh,R,Horror,United States,6000000,13940383
The Crossing Guard,R,Drama,United States,9000000,868979
Nixon,R,Biography,United States,44000000,13681765
Hideaway,R,Fantasy,United States,15000000,12201255
Mighty Aphrodite,R,Comedy,United States,15000000,6468498
Total Eclipse,R,Biography,United Kingdom,8000000,340139
Lord of Illusions,R,Horror,United States,12000000,13294422
The Scarlet Letter,R,Drama,United States,46000000,10382407
Nick of Time,R,Action,United States,33000000,8175346
Things to Do in Denver When You're Dead,R,Crime,United States,7000000,529766
Safe,R,Drama,United Kingdom,1000000,512245
Sudden Death,R,Action,United States,35000000,64350171
Screamers,R,Horror,Canada,20000000,5711695
Vampire in Brooklyn,R,Comedy,United States,20000000,19751736
A Kid in King Arthur's Court,PG,Adventure,United States,15000000,13406717
Othello,R,Drama,United States,11000000,2844379
Clockers,R,Crime,United States,25000000,13071518
Smoke,R,Comedy,Germany,7000000,8367636
Tall Tale,PG,Adventure,United States,32000000,11047627
Kiss of Death,R,Crime,United States,40000000,14942422
Home for the Holidays,PG-13,Comedy,United States,20000000,17519169
Restoration,R,Biography,United States,19000000,4005941
My Family,R,Drama,United States,5500000,11079373
The Brothers McMullen,R,Comedy,United States,238000,10426506
Losing Isaiah,R,Drama,United States,17000000,7603766
The Underneath,R,Crime,United States,6500000,536023
The Pebble and the Penguin,G,Animation,Ireland,28000000,3983912
Houseguest,PG,Comedy,United States,10500000,26325256
An Awfully Big Adventure,R,Comedy,United Kingdom,4000000,259724
Dr. Jekyll and Ms. Hyde,PG-13,Comedy,United Kingdom,8000000,2763020
Jefferson in Paris,PG-13,Biography,United States,14000000,2473668
Three Wishes,PG,Drama,United States,10000000,7027517
New Jersey Drive,R,Crime,United States,5000000,3565508
Beyond Rangoon,R,Action,United Kingdom,23000000,5750110
Space Jam,PG,Animation,United States,80000000,230418342
Independence Day,PG-13,Action,United States,75000000,817400891
Romeo + Juliet,PG-13,Drama,United States,14500000,147554998
Scream,R,Horror,United States,14000000,173046663
Sleepers,R,Crime,United States,44000000,165615285
From Dusk Till Dawn,R,Action,United States,19000000,25837111
Fargo,R,Crime,United States,7000000,60611975
Mission: Impossible,PG-13,Action,United States,80000000,457696391
Matilda,PG,Comedy,United States,36000000,33459416
Twister,PG-13,Action,United States,92000000,494471524
Happy Gilmore,PG-13,Comedy,United States,12000000,41205099
101 Dalmatians,G,Adventure,United States,75000000,320689294
Crash,NC-17,Drama,Canada,9000000,2671291
Jerry Maguire,R,Comedy,United States,50000000,273552592
The Rock,R,Action,United States,75000000,335062621
A Time to Kill,R,Crime,United States,40000000,152266007
The Craft,R,Drama,United States,15000000,24819936
Primal Fear,R,Crime,United States,30000000,102616183
Mars Attacks!,PG-13,Comedy,United States,70000000,101371017
The English Patient,R,Drama,United States,27000000,231976425
The Long Kiss Goodnight,R,Action,United States,65000000,89456761
Bottle Rocket,R,Comedy,United States,7000000,560069
Stealing Beauty,R,Drama,Italy,10000000,4762310
Bound,R,Crime,United States,4500000,3802260
Sling Blade,R,Drama,United States,1000000,24444121
The Mirror Has Two Faces,PG-13,Comedy,United States,42000000,41083864
The Birdcage,R,Comedy,United States,31000000,185260553
That Thing You Do!,PG,Comedy,United States,26000000,34585416
The Island of Dr. Moreau,PG-13,Horror,United States,40000000,49627779
Kingpin,PG-13,Comedy,United States,27000000,25023434
The Hunchback of Notre Dame,G,Animation,United States,100000000,325338851
The Frighteners,R,Comedy,New Zealand,30000000,29359216
Eraser,R,Action,United States,100000000,242295562
Striptease,R,Comedy,United States,40000000,113309743
Star Trek: First Contact,PG-13,Action,United States,45000000,146027888
Swingers,R,Comedy,United States,200000,4555020
Escape from L.A.,R,Action,United States,50000000,25477365
The Cable Guy,PG-13,Comedy,United States,47000000,102825796
Thinner,R,Fantasy,United States,8500000,15315484
Hard Eight,R,Crime,United States,3000000,222559
The Nutty Professor,PG-13,Comedy,United States,54000000,273961019
Hamlet,PG-13,Drama,United Kingdom,18000000,4770222
The Ghost and the Darkness,R,Adventure,Germany,55000000,38619405
Courage Under Fire,R,Action,United States,46000000,100860818
The First Wives Club,PG,Comedy,United States,26000000,181489203
Set It Off,R,Action,United States,9000000,41590886
James and the Giant Peach,PG,Animation,United Kingdom,38000000,28946127
DragonHeart,PG-13,Action,United States,57000000,115267375
Executive Decision,R,Action,United States,55000000,121969216
Jack,PG-13,Comedy,United States,45000000,58620973
White Squall,PG-13,Adventure,United States,38000000,10292300
Broken Arrow,R,Action,United States,50000000,150270147
Emma,PG,Comedy,United Kingdom,6000000,22231658
Chain Reaction,PG-13,Action,United States,50000000,60209334
Kama Sutra: A Tale of Love,Unrated,Crime,United Kingdom,3000000,4109095
The Crucible,PG-13,Drama,United States,25000000,7343114
Waiting for Guffman,R,Comedy,United States,4000000,2923982
Secrets & Lies,R,Comedy,United Kingdom,4500000,13417292
Daylight,PG-13,Action,United States,80000000,159212469
Last Man Standing,R,Action,United States,67000000,47267001
The Arrival,PG-13,Mystery,United States,25000000,14063331
Ransom,R,Action,United States,80000000,309492681
Beavis and Butt-Head Do America,PG-13,Animation,United States,12000000,63118386
Fly Away Home,PG,Adventure,United States,22000000,25143818
Tin Cup,R,Comedy,United States,45000000,53854588
Barb Wire,R,Action,United States,9000000,3793614
The Phantom,PG,Action,Australia,45000000,17323326
The Fan,R,Action,United States,55000000,18626419
Eye for an Eye,R,Crime,United States,20000000,26877589
Trees Lounge,R,Comedy,United States,1300000,749741
The People vs. Larry Flynt,R,Biography,United States,36000000,20300385
Freeway,R,Comedy,United States,3000000,295493
Kazaam,PG,Comedy,United States,20000000,18937262
Down Periscope,PG-13,Comedy,United States,31000000,37553752
Mulholland Falls,R,Crime,United States,29000000,11526099
Jingle All the Way,PG,Adventure,United States,60000000,129832389
She's the One,R,Comedy,United States,3500000,9538948
Shine,PG-13,Biography,Australia,5500000,35999081
Maximum Risk,R,Action,United States,25000000,14502483
Lone Star,R,Drama,United States,5000000,12408986
Michael Collins,R,Biography,United Kingdom,25000000,11135803
Phenomenon,PG,Drama,United States,32000000,152036382
Harriet the Spy,PG,Comedy,United States,12000000,26570048
Flipper,PG,Adventure,United States,25530000,20080020
Evita,PG,Biography,United States,55000000,141047179
Multiplicity,PG-13,Comedy,United States,45000000,21075014
Everyone Says I Love You,R,Comedy,United States,20000000,9759200
A Very Brady Sequel,PG-13,Comedy,United States,12000000,21440752
Manny & Lo,R,Comedy,United States,500000,502313
The Chamber,R,Crime,United States,50000000,22540359
Blood and Wine,R,Crime,United States,22000000,1094668
Jude,R,Drama,United Kingdom,7000000,409144
Bulletproof,R,Action,United States,25000000,22611954
Mrs. Winterbourne,PG-13,Comedy,United States,25000000,10082005
Up Close & Personal,PG-13,Drama,United States,60000000,100688705
The Juror,R,Crime,United States,44000000,22754725
Flirting with Disaster,R,Comedy,United States,7000000,14702438
Ghosts of Mississippi,PG-13,Drama,United States,36000000,13323144
The Preacher's Wife,PG,Comedy,United States,40000000,48102795
Bad Moon,R,Horror,United States,7000000,1060264
Carpool,PG,Comedy,United States,17000000,3325651
Before and After,PG-13,Crime,United States,35000000,8797839
Citizen Ruth,R,Comedy,United States,3000000,285112
Extreme Measures,R,Crime,United Kingdom,38000000,17380126
Dear God,PG,Comedy,United States,22000000,7138523
The Pallbearer,PG-13,Comedy,United States,8000000,5656388
Eddie,PG-13,Comedy,United States,30000000,31387164
The Adventures of Pinocchio,G,Adventure,Czech Republic,25000000,15094530
City Hall,R,Drama,United States,40000000,20340204
Twelfth Night,PG,Comedy,Ireland,5000000,588621
Mary Reilly,R,Drama,United States,47000000,12379402
My Fellow Americans,PG-13,Adventure,United States,21500000,22313201
Sgt. Bilko,PG,Comedy,United States,39000000,37956793
Heaven's Prisoners,R,Drama,United States,25000000,5009305
Girl 6,R,Comedy,United States,12000000,4939939
Larger Than Life,PG,Comedy,United States,30000000,8315693
The Stupids,PG,Adventure,United Kingdom,25000000,2491989
The Funeral,R,Crime,United States,12500000,1227324
Schizopolis,Not Rated,Comedy,United States,250000,10580
Surviving Picasso,R,Biography,United States,16000000,2021348
Kansas City,R,Crime,France,19000000,1356828
Fled,R,Action,United States,25000000,17193231
Unforgettable,R,Drama,United States,18000000,2821671
The Game,R,Drama,United States,50000000,109423648
Boogie Nights,R,Drama,United States,15000000,43101594
Titanic,PG-13,Drama,United States,200000000,2201647264
The Fifth Element,PG-13,Action,France,93000000,263920180
Austin Powers: International Man of Mystery,PG-13,Adventure,United States,16500000,67683989
Lolita,R,Drama,France,62000000,1071255
Good Will Hunting,R,Drama,United States,10000000,225933435
Starship Troopers,R,Action,United States,105000000,121214377
The Devil's Advocate,R,Drama,Germany,57000000,152944660
Con Air,R,Action,United States,75000000,224012234
Jackie Brown,R,Crime,United States,12000000,39673807
L.A. Confidential,R,Crime,United States,35000000,126216940
Contact,PG,Drama,United States,90000000,171120329
Men in Black,PG-13,Action,United States,90000000,589390539
Home Alone 3,PG,Action,United States,32000000,79082515
Air Force One,R,Action,United States,85000000,315156409
Batman & Robin,PG-13,Action,United States,125000000,238235719
Event Horizon,R,Horror,United Kingdom,60000000,26673829
Hercules,G,Animation,United States,85000000,252712101
Dante's Peak,PG-13,Action,United States,116000000,178127760
The Lost World: Jurassic Park,PG-13,Action,United States,73000000,618638999
Scream 2,R,Horror,United States,24000000,172363301
Face/Off,R,Action,United States,80000000,245676146
As Good as It Gets,PG-13,Comedy,United States,50000000,314178011
Gattaca,PG-13,Drama,United States,36000000,12532777
The Rainmaker,PG-13,Crime,United States,40000000,45916769
I Know What You Did Last Summer,R,Horror,United States,17000000,125586134
Alien: Resurrection,R,Action,United States,75000000,161376069
Liar Liar,PG-13,Comedy,United States,45000000,302710615
Donnie Brasco,R,Biography,United States,35000000,124909762
George of the Jungle,PG,Action,United States,55000000,174463257
Anastasia,G,Animation,United States,50000000,139804348
Fools Rush In,PG-13,Comedy,United States,20000000,29481428
Midnight in the Garden of Good and Evil,R,Crime,United States,35000000,25105255
Good Burger,PG,Comedy,United States,9000000,23712993
The Edge,R,Action,United States,30000000,43312294
My Best Friend's Wedding,PG-13,Comedy,United States,38000000,299288605
Anaconda,PG-13,Action,United States,45000000,136885767
Tomorrow Never Dies,PG-13,Action,United Kingdom,110000000,333011068
Speed 2: Cruise Control,PG-13,Action,United States,160000000,164508066
The Saint,PG-13,Action,United States,68000000,118063304
Lost Highway,R,Mystery,France,15000000,3703548
The Full Monty,R,Comedy,United Kingdom,3500000,257938649
Seven Years in Tibet,PG-13,Adventure,United States,70000000,131457682
Cop Land,R,Crime,United States,15000000,44862187
Gummo,R,Comedy,United States,1300000,116799
In & Out,PG-13,Comedy,United States,35000000,63856929
Chasing Amy,R,Comedy,United States,250000,12021272
U Turn,R,Crime,United States,19000000,6682098
Conspiracy Theory,R,Action,United States,75000000,136982834
Breakdown,R,Crime,United States,36000000,50159144
G.I. Jane,R,Action,United States,50000000,48169156
The Jackal,R,Action,United States,60000000,159330280
Kiss the Girls,R,Crime,United States,27000000,60527873
The Devil's Own,R,Action,United States,90000000,140807547
Amistad,R,Biography,United States,36000000,44229441
The Postman,R,Action,United States,80000000,17626234
Mimic,R,Horror,United States,30000000,25480803
Fierce Creatures,PG-13,Comedy,United Kingdom,25000000,9381260
Grosse Pointe Blank,R,Action,United States,15000000,28084357
Mortal Kombat: Annihilation,PG-13,Action,United States,30000000,51376861
Selena,PG,Biography,United States,20000000,35281794
The Borrowers,PG,Adventure,United Kingdom,29000000,22619589
The Peacemaker,R,Action,United States,50000000,110463140
Volcano,PG-13,Action,United States,90000000,122823468
Mousehunt,PG,Comedy,United States,38000000,122417389
Beverly Hills Ninja,PG-13,Action,United States,18000000,31480418
Murder at 1600,R,Action,United States,40000000,25804707
Flubber,PG,Comedy,United States,80000000,177977226
Orgazmo,NC-17,Comedy,United States,1000000,602302
The Ice Storm,R,Drama,United States,18000000,8038061
Soul Food,R,Comedy,United States,7500000,43700855
The Relic,R,Horror,United Kingdom,40000000,33956608
Bean,PG-13,Adventure,United Kingdom,18000000,251212670
Wag the Dog,R,Comedy,United States,15000000,64256513
Absolute Power,R,Action,United States,50000000,50068310
Jungle 2 Jungle,PG,Comedy,United States,32000000,59927618
Private Parts,R,Biography,United States,28000000,41230799
Picture Perfect,PG-13,Comedy,United States,10000000,44332015
Money Talks,R,Action,United States,25000000,48407611
Nothing to Lose,R,Action,United States,25000000,44480039
Steel,PG-13,Action,United States,16000000,1710972
Kundun,PG-13,Biography,United States,28000000,5684789
Air Bud,PG,Comedy,United States,3000000,23144499
The Opposite of Sex,R,Comedy,United States,5000000,5881367
For Richer or Poorer,PG-13,Comedy,United States,35000000,32748995
Rosewood,R,Action,United States,25000000,13130349
Metro,R,Action,United States,55000000,32000301
Red Corner,R,Crime,United States,48000000,22459274
Affliction,R,Drama,United States,6000000,6330054
A Thousand Acres,R,Drama,United States,28000000,7936780
Hoodlum,R,Crime,United States,30000000,23499102
Excess Baggage,PG-13,Action,United States,20000000,14515490
The Man Who Knew Too Little,PG,Comedy,United States,20000000,13717039
The Beautician and the Beast,PG,Comedy,United States,16000000,11486880
City of Industry,R,Crime,United States,8000000,1568258
One Eight Seven,R,Drama,United States,20000000,5727130
Deconstructing Harry,R,Comedy,United States,20000000,10686841
A Life Less Ordinary,R,Comedy,United Kingdom,12000000,4366722
The Spanish Prisoner,PG,Drama,United States,10000000,9593903
Warriors of Virtue,PG,Action,United States,35000000,6537036
Anna Karenina,PG-13,Drama,United States,35000000,858553
Ulee's Gold,R,Drama,United States,2700000,9161691
Cats Don't Dance,G,Animation,United States,32000000,3566637
One Night Stand,R,Drama,United States,24000000,2642983
Paradise Road,R,Drama,Australia,16000000,2007100
Trojan War,PG-13,Comedy,United States,15000000,309
Mr. Magoo,PG,Adventure,United States,30000000,21437192
Fathers' Day,PG-13,Comedy,United States,85000000,28598376
Two Girls and a Guy,R,Comedy,United States,1000000,2057193
The House of Yes,R,Comedy,United States,1500000,626057
She's So Lovely,R,Drama,France,18000000,7281450
Leave It to Beaver,PG,Comedy,United States,15000000,10925060
A Simple Wish,PG,Comedy,United States,28000000,8345056
The Last Time I Committed Suicide,R,Biography,United States,4000000,46362
Out to Sea,PG-13,Comedy,United States,33000000,30716901
Gone Fishin',PG,Comedy,United States,53000000,19745922
Most Wanted,R,Action,United States,25000000,11838218
The Sixth Man,PG-13,Comedy,United States,11000000,14772788
Welcome to Sarajevo,R,Drama,United Kingdom,9000000,334319
In the Company of Men,R,Comedy,Canada,25000,2804473
McHale's Navy,PG,Action,United States,31190000,4529843
The Big Lebowski,R,Comedy,United States,15000000,46748721
Saving Private Ryan,R,Drama,United States,70000000,482349603
The Truman Show,PG,Comedy,United States,60000000,264118201
Armageddon,PG-13,Action,United States,140000000,553709788
Rounders,R,Crime,United States,12000000,22912409
Wild Things,R,Crime,United States,20000000,30166293
Blade,R,Action,United States,45000000,131183530
The Wedding Singer,PG-13,Comedy,United States,18000000,123306987
Meet Joe Black,PG-13,Drama,United States,90000000,142940100
Rush Hour,PG-13,Action,United States,33000000,244721064
Fear and Loathing in Las Vegas,R,Adventure,United States,18500000,10680275
Deep Impact,PG-13,Action,United States,75000000,349464664
There's Something About Mary,R,Comedy,United States,23000000,369884651
The Faculty,R,Horror,United States,15000000,40283321
A Bug's Life,G,Animation,United States,120000000,363258859
Out of Sight,R,Comedy,United States,48000000,77745966
The Thin Red Line,R,Drama,United States,52000000,98126565
Pleasantville,PG-13,Comedy,United States,60000000,49805462
You've Got Mail,PG,Comedy,United States,65000000,250821495
Rushmore,R,Comedy,United States,9000000,17196103
The Mask of Zorro,PG-13,Action,United States,95000000,250288523
A Perfect Murder,R,Crime,United States,60000000,128038368
Dark City,R,Fantasy,Australia,27000000,27200316
Ever After: A Cinderella Story,PG-13,Comedy,United States,26000000,98005666
Godzilla,PG-13,Action,Japan,130000000,379014294
Shakespeare in Love,R,Comedy,United States,25000000,289317794
Can't Hardly Wait,PG-13,Comedy,United States,10000000,25605015
Small Soldiers,PG-13,Action,United States,40000000,54682547
Snake Eyes,R,Crime,United States,73000000,103891409
Stepmom,PG-13,Comedy,United States,50000000,159710793
The Waterboy,PG-13,Comedy,United States,23000000,185991646
Blast from the Past,PG-13,Comedy,United States,35000000,40263020
Star Trek: Insurrection,PG,Action,United States,58000000,112587658
The Man in the Iron Mask,PG-13,Action,France,35000000,182968902
Enemy of the State,R,Action,United States,90000000,250849789
Urban Legend,R,Horror,Canada,14000000,72527595
Ronin,R,Action,United Kingdom,55000000,41616262
Lost in Space,PG-13,Action,United States,80000000,136159423
Bride of Chucky,R,Comedy,United States,25000000,50688658
Pi,R,Drama,United States,60000,3221152
The Horse Whisperer,PG-13,Drama,United States,60000000,186883563
Happiness,Unrated,Comedy,United States,2200000,2982011
Patch Adams,PG-13,Biography,United States,90000000,202292902
Sphere,PG-13,Action,United States,80000000,37020277
U.S. Marshals,PG-13,Action,United States,60000000,102367405
Six Days Seven Nights,PG-13,Action,United States,70000000,164839294
Deep Rising,R,Action,United States,45000000,11203026
Lethal Weapon 4,R,Action,United States,140000000,285444603
Elizabeth,R,Biography,United Kingdom,30000000,82150642
The Negotiator,R,Action,Germany,50000000,44547681
Hope Floats,PG-13,Drama,United States,30000000,81471882
Sliding Doors,PG-13,Comedy,United Kingdom,6000000,11841544
Buffalo '66,R,Comedy,United States,1500000,2375097
Psycho,R,Horror,United States,60000000,37170655
Halloween H20: 20 Years Later,R,Horror,United States,17000000,55041738
Mercury Rising,R,Action,United States,60000000,93107289
City of Angels,PG-13,Drama,United States,55000000,198685114
Half Baked,R,Comedy,United States,8000000,17460020
He Got Game,R,Drama,United States,25000000,21567853
Antz,PG,Animation,United States,105000000,171757863
A Simple Plan,R,Crime,United Kingdom,30000000,16316273
Vampires,R,Action,Japan,20000000,20308772
Following,R,Crime,United Kingdom,6000,48482
Great Expectations,R,Drama,United States,25000000,55494066
The Avengers,PG-13,Action,United States,60000000,23384939
I Still Know What You Did Last Summer,R,Horror,United States,65000000,40002112
The Siege,R,Action,United States,70000000,116672912
Soldier,R,Action,United States,60000000,14594226
The X Files,PG-13,Drama,United States,66000000,189176423
